GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015092702,2015-09-27,1,0,0,,PHI,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092704,2015-09-27,1,14,0,MIN,SD,1,10,35,,0,,0,"(14:00) (NO HUDDLE) 28-A.PETERSON UP THE MIDDLE TO MIN 37 FOR 2 YARDS (94-C.LIUGET).",0,,,2015,2,"NO HUDDLE",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,35,OWN,0,,0,,0
2015092704,2015-09-27,2,0,0,,SD,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092705,2015-09-27,4,3,9,,PIT,0,0,0,,1,,0,"TIMEOUT #1 BY STL AT 03:09.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092706,2015-09-27,3,0,0,,JAC,0,0,0,,1,,0,"END QUARTER 3",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092708,2015-09-27,1,2,0,CLE,OAK,3,6,24,,1,,0,"(2:00) (SHOTGUN) 13-J.MCCOWN PASS SHORT LEFT TO 83-B.HARTLINE TO CLE 41 FOR 17 YARDS (31-N.THORPE) [96-D.AUTRY].",0,,,2015,17,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,24,OWN,0,,0,,0
2015092708,2015-09-27,2,0,0,,OAK,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092708,2015-09-27,4,2,0,,OAK,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092709,2015-09-27,2,0,0,,IND,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092710,2015-09-27,1,0,0,,SF,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092710,2015-09-27,3,0,0,,SF,0,0,0,,1,,0,"END QUARTER 3",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092710,2015-09-27,4,13,13,SF,ARI,3,20,23,,0,,0,"(13:13) (SHOTGUN) 7-C.KAEPERNICK PASS INCOMPLETE DEEP RIGHT TO 81-A.BOLDIN.",0,,,2015,0,SHOTGUN,PASS,0,1,1,0,"DEEP RIGHT",0,0,0,,0,0,0,0,0,0,,23,OWN,0,,0,,0
2015092712,2015-09-27,3,12,56,BUF,MIA,1,10,45,,0,,0,"(12:56) 25-L.MCCOY RIGHT TACKLE TO BUF 44 FOR -1 YARDS (79-D.SHELBY).",0,,,2015,-1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT TACKLE",45,OWN,0,,0,,0
2015092713,2015-09-27,1,0,0,,DEN,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092713,2015-09-27,2,2,0,,DEN,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092713,2015-09-27,4,12,17,,DEN,0,0,0,,1,,0,"TIMEOUT #1 BY DEN AT 12:17.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
